municipio,uf,ng
Careiro da Várzea,AM,24
Cariacica,ES,6
Caridade,CE,4
Caridade do Piauí,PI,6
Carinhanha,BA,8
Carira,SE,4
Cariré,CE,8
Cariri do Tocantins,TO,22
Caririaçu,CE,6
Cariús,CE,6
Carlinda,MT,18
Carlópolis,PR,12
Carlos Barbosa,RS,14
Carlos Chagas,MG,8
Carlos Gomes,RS,16
Carmésia,MG,16
Carmo,RJ,20
Carmo da Cachoeira,MG,14
Carmo da Mata,MG,10
Carmo de Minas,MG,10
Carmo do Cajuru,MG,10
Carmo do Paranaíba,MG,14
Carmo do Rio Claro,MG,12
Carmo do Rio Verde,GO,22
Carmolândia,TO,16
Carmópolis,SE,2
Carmópolis de Minas,MG,10
Carnaíba,PE,8
Carnaúba dos Dantas,RN,6
Carnaubais,RN,6
Carnaubal,CE,6
Carnaubeira da Penha,PE,6
Carneirinho,MG,16
Carneiros,AL,4
Caroebe,RR,14
Carolina,MA,18
Carpina,PE,2
Carrancas,MG,12
Carrapateira,PB,6
Carrasco Bonito,TO,14
Caruaru,PE,4
Carutapera,MA,6
Carvalhópolis,MG,12
Carvalhos,MG,22
Casa Branca,SP,14
Casa Grande,MG,16
Casa Nova,BA,6
Casca,RS,20
Cascalho Rico,MG,12
Cascavel,CE,4
Cascavel,PR,22
Caseara,TO,24
Caseiros,RS,16
Casimiro de Abreu,RJ,20
Casinhas,PE,2
Casserengue,PB,2
Cássia,MG,16
Cássia dos Coqueiros,SP,16
Cassilândia,MS,20
Castanhal,PA,18
Castanheira,MT,14
Castanheiras,RO,14
Castelândia,GO,14
Castelo,ES,12
Castelo do Piauí,PI,10
Castilho,SP,18
Castro,PR,14
Castro Alves,BA,4
Cataguases,MG,18
Catalão,GO,14
Catanduva,SP,16
Catanduvas,PR,20
Catanduvas,SC,18
Catarina,CE,2
Catas Altas,MG,18
Catas Altas da Noruega,MG,18
Catende,PE,2
Catiguá,SP,16
Catingueira,PB,12
Catolândia,BA,10
Catolé do Rocha,PB,6
Catu,BA,2
Catuípe,RS,24
Catuji,MG,6
Catunda,CE,8
Caturaí,GO,14
Caturama,BA,6
Caturité,PB,4
Catuti,MG,10
Caucaia,CE,2
Cavalcante,GO,18
Caxambu,MG,12
Caxambu do Sul,SC,18
Caxias,MA,14
Caxias do Sul,RS,14
Caxingó,PI,12
Ceará-Mirim,RN,2
Cedral,MA,2
Cedral,SP,14
Cedro,CE,8
Cedro,PE,6
Cedro de São João,SE,2
Cedro do Abaeté,MG,12
Celso Ramos,SC,14
Centenário,TO,22
Centenário,RS,18
Centenário do Sul,PR,16
Central,BA,6
Central de Minas,MG,8
Central do Maranhão,MA,4
Centralina,MG,18
Centro do Guilherme,MA,14
Centro Novo do Maranhão,MA,16
Cerejeiras,RO,18
Ceres,GO,20
Cerqueira César,SP,16
Cerquilho,SP,16
Cerrito,RS,14
Cerro Azul,PR,14
Cerro Branco,RS,16
Cerro Corá,RN,4
Cerro Grande,RS,16
Cerro Grande do Sul,RS,12
Cerro Largo,RS,26
Cerro Negro,SC,14
Cesário Lange,SP,16
Céu Azul,PR,24
Cezarina,GO,14
Chã de Alegria,PE,2
Chã Grande,PE,2
Chã Preta,AL,2
Chácara,MG,28
Chalé,MG,12
Chapada,RS,16
Chapada da Natividade,TO,22
Chapada de Areia,TO,22
Chapada do Norte,MG,6
Chapada dos Guimarães,MT,20
Chapada Gaúcha,MG,14
Chapadão do Céu,GO,22
Chapadão do Lageado,SC,14
Chapadão do Sul,MS,24
Chapadinha,MA,14
Chapecó,SC,20
Charqueada,SP,16
Charqueadas,RS,14
Charrua,RS,18
Chaval,CE,6
Chavantes,SP,14
Chaves,PA,18
Chiador,MG,22
Chiapetta,RS,22
Chopinzinho,PR,22
Choró,CE,4
Chorozinho,CE,2
Chorrochó,BA,4
Chuí,RS,10
Chupinguaia,RO,16
Chuvisca,RS,14
Cianorte,PR,20
Cícero Dantas,BA,2
Cidade Gaúcha,PR,20
Cidade Ocidental,GO,16
Cidelândia,MA,14
Cidreira,RS,12
Cipó,BA,4
Cipotânea,MG,18
Ciríaco,RS,18
Claraval,MG,12
Claro dos Poções,MG,8
Cláudia,MT,18
Cláudio,MG,10
Clementina,SP,12
Clevelândia,PR,18
Coaraci,BA,4
Coari,AM,24
Cocal,PI,14
Cocal de Telha,PI,12
Cocal do Sul,SC,14
Cocal dos Alves,PI,12
Cocalinho,MT,14
Cocalzinho de Goiás,GO,16
Cocos,BA,14
Codajás,AM,28
Codó,MA,14
Coelho Neto,MA,16
Coimbra,MG,12
Coité do Noia,AL,2
Coivaras,PI,14
Colares,PA,14
Colatina,ES,8
Colíder,MT,16
Colina,SP,14
Colinas,MA,8
Colinas,RS,20
Colinas do Sul,GO,16
Colinas do Tocantins,TO,22
Colmeia,TO,24
Colniza,MT,18
Colômbia,SP,18
Colombo,PR,14
Colônia do Gurgueia,PI,6
Colônia do Piauí,PI,10
Colônia Leopoldina,AL,2
Colorado,PR,18
Colorado,RS,16
Colorado do Oeste,RO,16
Coluna,MG,12
Combinado,TO,14
Comendador Gomes,MG,20
Comendador Levy Gasparian,RJ,26
Comercinho,MG,6
Comodoro,MT,20
Conceição,PB,6
Conceição da Aparecida,MG,12
Conceição da Barra,ES,6
Conceição da Barra de Minas,MG,12
Conceição da Feira,BA,4
Conceição das Alagoas,MG,16
Conceição das Pedras,MG,10
Conceição de Ipanema,MG,12
Conceição de Macabu,RJ,16
Conceição do Almeida,BA,2
Conceição do Araguaia,PA,24
Conceição do Canindé,PI,6
Conceição do Castelo,ES,12
Conceição do Coité,BA,4
Conceição do Jacuípe,BA,4
Conceição do Lago-Açu,MA,16
Conceição do Mato Dentro,MG,16
Conceição do Pará,MG,10
Conceição do Rio Verde,MG,12
Conceição do Tocantins,TO,22
Conceição dos Ouros,MG,12
Conchal,SP,16
Conchas,SP,16
Concórdia,SC,18
Concórdia do Pará,PA,20
Condado,PB,12
Condado,PE,2
Conde,PB,2
Conde,BA,2
Condeúba,BA,4
Condor,RS,22
Cônego Marinho,MG,10
Confns,MG,10
Confresa,MT,18
Congo,PB,4
Congonhal,MG,14
Congonhas,MG,18
Congonhas do Norte,MG,12
Congonhinhas,PR,14
Conquista,MG,14
Conquista D’Oeste,MT,16
Conselheiro Lafaiete,MG,20
Conselheiro Mairinck,PR,12
Conselheiro Pena,MG,8
Consolação,MG,14
Constantina,RS,16
Contagem,MG,12
Contenda,PR,14
Contendas do Sincorá,BA,4
Coqueiral,MG,12
Coqueiro Baixo,RS,20
Coqueiro Seco,AL,2
Coqueiros do Sul,RS,18
Coração de Jesus,MG,10
Coração de Maria,BA,4
Corbélia,PR,20
Cordeiro,RJ,20
Cordeirópolis,SP,16
Cordeiros,BA,4
Cordilheira Alta,SC,20
Cordisburgo,MG,10
Cordislândia,MG,12
Coreaú,CE,8
Coremas,PB,8
Corguinho,MS,18
Coribe,BA,10
Corinto,MG,10
Cornélio Procópio,PR,14
Coroaci,MG,14
Coroados,SP,12
Coroatá,MA,14
Coromandel,MG,12
Coronel Barros,RS,26
Coronel Bicaco,RS,20
Coronel Domingos Soares,PR,16
Coronel Ezequiel,RN,4
Coronel Fabriciano,MG,14
Coronel Freitas,SC,20
Coronel João Pessoa,RN,6
Coronel João Sá,BA,4
Coronel José Dias,PI,6
Coronel Macedo,SP,12
Coronel Martins,SC,18
Coronel Murta,MG,8
Coronel Pacheco,MG,28
Coronel Pilar,RS,16
Coronel Sapucaia,MS,24
Coronel Vivida,PR,20
Coronel Xavier Chaves,MG,16
Córrego Danta,MG,12
Córrego do Bom Jesus,MG,14
Córrego do Ouro,GO,14
Córrego Fundo,MG,14
Córrego Novo,MG,12
Correia Pinto,SC,16
Corrente,PI,12
Correntes,PE,2
Correntina,BA,16
Cortês,PE,2
Corumbá,MS,26
Corumbá de Goiás,GO,16
Corumbaíba,GO,16
Corumbataí,SP,16
Corumbataí do Sul,PR,16
Corumbiara,RO,16
Corupá,SC,18
Coruripe,AL,2
Cosmópolis,SP,18
Cosmorama,SP,12
Costa Marques,RO,14
Costa Rica,MS,24
Cotegipe,BA,14
Cotia,SP,18
Cotiporã,RS,16
Cotriguaçu,MT,22
Couto de Magalhães de Minas,MG,12
Couto Magalhães,TO,24
Coxilha,RS,18
Coxim,MS,22
Coxixola,PB,4
Craíbas,AL,2
Crateús,CE,6
Crato,CE,4
Cravinhos,SP,18
Cravolândia,BA,4
Criciúma,SC,14
Crisólita,MG,8
Crisópolis,BA,4
Crissiumal,RS,20
Cristais,MG,12
Cristais Paulista,SP,14
Cristal,RS,14
Cristal do Sul,RS,18
Cristalândia,TO,22
Cristalândia do Piauí,PI,12
Cristália,MG,8
Cristalina,GO,14
Cristiano Otoni,MG,18
Cristianópolis,GO,14
Cristina,MG,10
Cristinápolis,SE,2
Cristino Castro,PI,12
Cristópolis,BA,14
Crixás,GO,18
Crixás do Tocantins,TO,28
Croatá,CE,6
Cromínia,GO,14
Crucilândia,MG,12
Cruz,CE,4
Cruz Alta,RS,26
Cruz das Almas,BA,4
Cruz do Espírito Santo,PB,2
Cruz Machado,PR,16
Cruzália,SP,16
Cruzaltense,RS,16
Cruzeiro,SP,18
Cruzeiro da Fortaleza,MG,14
Cruzeiro do Iguaçu,PR,20
Cruzeiro do Oeste,PR,22
Cruzeiro do Sul,AC,14
Cruzeiro do Sul,PR,18
Cruzeiro do Sul,RS,20
Cruzeta,RN,8
Cruzília,MG,14
Cruzmaltina,PR,16
Cubatão,SP,18
Cubati,PB,4
Cuiabá,MT,28
Cuité,PB,4
Cuité de Mamanguape,PB,2
Cuitegi,PB,2
Cujubim,RO,16
Cumari,GO,12
Cumaru,PE,2
Cumaru do Norte,PA,28
Cumbe,SE,4
Cunha,SP,20
Cunha Porã,SC,20
Cunhataí,SC,18
Cuparaque,MG,8
Cupira,PE,2
Curaçá,BA,6
Curimatá,PI,12
Curionópolis,PA,14
Curitiba,PR,14
Curitibanos,SC,18
Curiúva,PR,18
Currais,PI,12
Currais Novos,RN,6
Curral de Cima,PB,2
Curral de Dentro,MG,6
Curral Novo do Piauí,PI,4
Curral Velho,PB,8
Curralinho,PA,20
Curralinhos,PI,10
Curuá,PA,16
Curuçá,PA,10
Cururupu,MA,2
Curvelândia,MT,16
Curvelo,MG,10
Custódia,PE,6
Cutias,AP,4
Damianópolis,GO,16
Damião,PB,2
Damolândia,GO,16
Darcinópolis,TO,16
Dário Meira,BA,6
Datas,MG,12
David Canabarro,RS,16
Davinópolis,MA,12
Davinópolis,GO,14
Delfm Moreira,MG,14
Delfnópolis,MG,18
Delmiro Gouveia,AL,4
Delta,MG,16
Demerval Lobão,PI,12
Denise,MT,18
Deodápolis,MS,22
Deputado Irapuan Pinheiro,CE,4
Derrubadas,RS,22
Descalvado,SP,16
Descanso,SC,22
Descoberto,MG,18
Desterro,PB,6
Desterro de Entre Rios,MG,14
Desterro do Melo,MG,20
Dezesseis de Novembro,RS,24
Diadema,SP,18
Diamante,PB,6
Diamante do Norte,PR,20
Diamante do Sul,PR,20
Diamante D’Oeste,PR,24
Diamantina,MG,10
Diamantino,MT,16
Dianópolis,TO,26
Dias d’Ávila,BA,2
Dilermando de Aguiar,RS,20
Diogo de Vasconcelos,MG,16
Dionísio,MG,16
Dionísio Cerqueira,SC,22
Diorama,GO,14
Dirce Reis,SP,12
Dirceu Arcoverde,PI,6
Divina Pastora,SE,2
Divinésia,MG,14
Divino,MG,12
Divino das Laranjeiras,MG,10
Divino de São Lourenço,ES,12
Divinolândia,SP,14
Divinolândia de Minas,MG,16
Divinópolis,MG,12
Divinópolis de Goiás,GO,16
Divinópolis do Tocantins,TO,28
Divisa Alegre,MG,6
Divisa Nova,MG,10
Divisópolis,MG,6
Dobrada,SP,16
Dois Córregos,SP,16
Dois Irmãos,RS,14
Dois Irmãos das Missões,RS,18
Dois Irmãos do Buriti,MS,20
Dois Irmãos do Tocantins,TO,28
Dois Lajeados,RS,18
Dois Riachos,AL,4
Dois Vizinhos,PR,20
Dolcinópolis,SP,14
Dom Aquino,MT,20
Dom Basílio,BA,6
Dom Bosco,MG,10
Dom Cavati,MG,8
Dom Eliseu,PA,12
Dom Expedito Lopes,PI,14
Dom Feliciano,RS,18
Dom Inocêncio,PI,6
Dom Joaquim,MG,16
Dom Macedo Costa,BA,2
Dom Pedrito,RS,18
Dom Pedro,MA,10
Dom Pedro de Alcântara,RS,14
Dom Silvério,MG,18
Dom Viçoso,MG,12
Domingos Martins,ES,10
Domingos Mourão,PI,10
Dona Emma,SC,16
Dona Euzébia,MG,16
Dona Francisca,RS,18
Dona Inês,PB,2
Dores de Campos,MG,18
Dores de Guanhães,MG,16
Dores do Indaiá,MG,14
Dores do Rio Preto,ES,14
Dores do Turvo,MG,16
Doresópolis,MG,14
Dormentes,PE,4
Douradina,PR,24
Douradina,MS,20
Dourado,SP,16
Douradoquara,MG,12
Dourados,MS,24
Doutor Camargo,PR,20
Doutor Maurício Cardoso,RS,22
Doutor Pedrinho,SC,14
Doutor Ricardo,RS,18
Doutor Severiano,RN,6
Doutor Ulysses,PR,16
Doverlândia,GO,20
Dracena,SP,18
Duartina,SP,14
Duas Barras,RJ,22
Duas Estradas,PB,2
Dueré,TO,24
Dumont,SP,14
Duque Bacelar,MA,18
Duque de Caxias,RJ,22
Durandé,MG,12
Echaporã,SP,18
Ecoporanga,ES,10
Edealina,GO,16
Edeia,GO,16
Eirunepé,AM,14
Eldorado,SP,20
Eldorado,MS,22
Eldorado do Carajás,PA,14
Eldorado do Sul,RS,14
Elesbão Veloso,PI,14
Elias Fausto,SP,16
Eliseu Martins,PI,8
Elisiário,SP,16
Elísio Medrado,BA,2
Elói Mendes,MG,12
Emas,PB,10
Embaúba,SP,14
Embu das Artes,SP,18
Embu-Guaçu,SP,16
Emilianópolis,SP,16
Encantado,RS,18
Encanto,RN,6
Encruzilhada,BA,6
Encruzilhada do Sul,RS,18
Enéas Marques,PR,20
Engenheiro Beltrão,PR,20
Engenheiro Caldas,MG,10
Engenheiro Coelho,SP,16
Engenheiro Navarro,MG,8
Engenheiro Paulo de Frontin,RJ,26
Engenho Velho,RS,16
Entre Folhas,MG,10
Entre Rios,BA,4
Entre Rios,SC,20
Entre Rios de Minas,MG,16
Entre Rios do Oeste,PR,24
Entre Rios do Sul,RS,16
Entre-Ijuís,RS,26
Envira,AM,16
Epitaciolândia,AC,12
Equador,RN,6
Erebango,RS,18
Erechim,RS,18
Ereré,CE,6
Érico Cardoso,BA,6
Ermo,SC,14
Ernestina,RS,18
Erval Grande,RS,18
Erval Seco,RS,20
Erval Velho,SC,16
Ervália,MG,12
Escada,PE,2
Esmeralda,RS,12
Esmeraldas,MG,10
Espera Feliz,MG,14
Esperança,PB,2
Esperança do Sul,RS,22
Esperança Nova,PR,24
Esperantina,TO,14
Esperantina,PI,22
Esperantinópolis,MA,10
Espigão Alto do Iguaçu,PR,20
Espigão D’Oeste,RO,12
Espinosa,MG,8
Espírito Santo,RN,2
Espírito Santo do Dourado,MG,14
Espírito Santo do Pinhal,SP,14
Espírito Santo do Turvo,SP,14
Esplanada,BA,2
Espumoso,RS,16
Estação,RS,18
Estância,SE,2
Estância Velha,RS,14
Esteio,RS,14
Estiva,MG,12
Estiva Gerbi,SP,12
Estreito,MA,16
Estrela,RS,20
Estrela Dalva,MG,18
Estrela de Alagoas,AL,2
Estrela do Indaiá,MG,12
Estrela do Norte,SP,18
Estrela do Norte,GO,18
Estrela do Sul,MG,10
Estrela d’Oeste,SP,12
Estrela Velha,RS,20
Euclides da Cunha,BA,4
Euclides da Cunha Paulista,SP,20
Eugênio de Castro,RS,26
Eugenópolis,MG,14
Eunápolis,BA,6
Eusébio,CE,2
Ewbank da Câmara,MG,30
Extrema,MG,16
Extremoz,RN,2
Exu,PE,4
Fagundes,PB,2
Fagundes Varela,RS,18
Faina,GO,16
Fama,MG,10
Faria Lemos,MG,14
Farias Brito,CE,4
Faro,PA,16
Farol,PR,16
Farroupilha,RS,14
Fartura,SP,12
Fartura do Piauí,PI,6
Fátima,TO,24
Fátima,BA,2
Fátima do Sul,MS,24
Faxinal,PR,18
Faxinal do Soturno,RS,20
Faxinal dos Guedes,SC,18
Faxinalzinho,RS,16
Fazenda Nova,GO,14
Fazenda Rio Grande,PR,14
Fazenda Vilanova,RS,18
Feijó,AC,16
Feira da Mata,BA,8
Feira de Santana,BA,4
Feira Grande,AL,2
Feira Nova,PE,2
Feira Nova,SE,4
Feira Nova do Maranhão,MA,14
Felício dos Santos,MG,12
Felipe Guerra,RN,6
Felisburgo,MG,6
Felixlândia,MG,10
Feliz,RS,14
Feliz Deserto,AL,2
Feliz Natal,MT,16
Fênix,PR,18
Fernandes Pinheiro,PR,12
Fernandes Tourinho,MG,10
Fernando de Noronha,PE,0
Fernando Falcão,MA,8
Fernando Pedroza,RN,6
Fernando Prestes,SP,18
Fernandópolis,SP,14
Fernão,SP,14
Ferraz de Vasconcelos,SP,20
Ferreira Gomes,AP,8
Ferreiros,PE,2
Ferros,MG,16
Fervedouro,MG,10
Figueira,PR,16
Figueirão,MS,24
Figueirópolis,TO,24
Figueirópolis D’Oeste,MT,18
Filadélfa,TO,18
Filadélfa,BA,4
Firmino Alves,BA,4
Firminópolis,GO,16
Flexeiras,AL,2
Flor da Serra do Sul,PR,22
Flor do Sertão,SC,20
Flora Rica,SP,16
Floraí,PR,20
Florânia,RN,8
Floreal,SP,14
Flores,PE,6
Flores da Cunha,RS,14
Flores de Goiás,GO,16
Flores do Piauí,PI,8
Floresta,PE,6
Floresta,PR,20
Floresta Azul,BA,4
Floresta do Araguaia,PA,20
Floresta do Piauí,PI,8
Florestal,MG,10
Florestópolis,PR,16
Floriano,PI,8
Floriano Peixoto,RS,18
Florianópolis,SC,16
Flórida,PR,18
Flórida Paulista,SP,16
Florínea,SP,14
Fonte Boa,AM,18
Fontoura Xavier,RS,18
Formiga,MG,14
Formigueiro,RS,18
Formosa,GO,14
Formosa da Serra Negra,MA,10
Formosa do Oeste,PR,20
Formosa do Rio Preto,BA,22
Formosa do Sul,SC,20
Formoso,MG,16
Formoso,GO,16
Formoso do Araguaia,TO,20
Forquetinha,RS,20
Forquilha,CE,8
Forquilhinha,SC,14
Fortaleza,CE,2
Fortaleza de Minas,MG,14
Fortaleza dos Nogueiras,MA,10
Fortaleza dos Valos,RS,22
Fortim,CE,2
Fortuna,MA,10
Fortuna de Minas,MG,10
Foz do Iguaçu,PR,22
Foz do Jordão,PR,18
Fraiburgo,SC,18
Franca,SP,16
Francinópolis,PI,12
Francisco Alves,PR,20
Francisco Ayres,PI,8
Francisco Badaró,MG,6
Francisco Beltrão,PR,22
Francisco Dantas,RN,6
Francisco Dumont,MG,10
Francisco Macedo,PI,6
Francisco Morato,SP,18
Francisco Sá,MG,8
Francisco Santos,PI,10
Franciscópolis,MG,8
Franco da Rocha,SP,18
Frecheirinha,CE,8
Frederico Westphalen,RS,20
Frei Gaspar,MG,10
Frei Inocêncio,MG,10
Frei Lagonegro,MG,10
Frei Martinho,PB,6
Frei Miguelinho,PE,2
Frei Paulo,SE,4
Frei Rogério,SC,18
Fronteira,MG,18
Fronteira dos Vales,MG,6
Fronteiras,PI,4
Fruta de Leite,MG,8
Frutal,MG,20
Frutuoso Gomes,RN,6
Fundão,ES,8
Funilândia,MG,10
Gabriel Monteiro,SP,12
Gado Bravo,PB,2
Gália,SP,16
Galileia,MG,8
Galinhos,RN,4
Galvão,SC,18
Gameleira,PE,2
Gameleira de Goiás,GO,16
Gameleiras,MG,10
Gandu,BA,2
Garanhuns,PE,4
Gararu,SE,4
Garça,SP,16
Garibaldi,RS,16
Garopaba,SC,12
Garrafão do Norte,PA,16
Garruchos,RS,30
Garuva,SC,14
Gaspar,SC,18
Gastão Vidigal,SP,12
Gaúcha do Norte,MT,18
Gaurama,RS,18
Gavião,BA,2
Gavião Peixoto,SP,18
Geminiano,PI,12
General Câmara,RS,16
General Carneiro,PR,18
General Carneiro,MT,20
General Maynard,SE,2
General Salgado,SP,12
General Sampaio,CE,4
Gentil,RS,18
Gentio do Ouro,BA,10
Getulina,SP,12
Getúlio Vargas,RS,18
Gilbués,PI,18
Girau do Ponciano,AL,2
Giruá,RS,24
Glaucilândia,MG,8
Glicério,SP,10
Glória,BA,6
Glória de Dourados,MS,22
Glória do Goitá,PE,2
Glória D’Oeste,MT,14
Glorinha,RS,14
Godofredo Viana,MA,4
Godoy Moreira,PR,16
Goiabeira,MG,8
Goiana,PE,2
Goianá,MG,24
Goianápolis,GO,16
Goiandira,GO,14
Goianésia,GO,18
Goianésia do Pará,PA,16
Goiânia,GO,16
Goianinha,RN,2
Goianira,GO,14
Goianorte,TO,24
Goiás,GO,16
Goiatins,TO,22
Goiatuba,GO,16
Goioerê,PR,18
Goioxim,PR,18
Gonçalves,MG,16
Gonçalves Dias,MA,12
Gongogi,BA,4
Gonzaga,MG,16
Gouveia,MG,12
Gouvelândia,GO,14
Governador Archer,MA,12
Governador Celso Ramos,SC,16
Governador Dix-Sept Rosado,RN,8
Governador Edison Lobão,MA,14
Governador Eugênio Barros,MA,10
Governador Jorge Teixeira,RO,14
Governador Lindenberg,ES,8
Governador Luiz Rocha,MA,10
Governador Mangabeira,BA,4
Governador Newton Bello,MA,12
Governador Nunes Freire,MA,8
Governador Valadares,MG,14
Graça,CE,6
Graça Aranha,MA,8
Gracho Cardoso,SE,4
Grajaú,MA,8
Gramado,RS,14
Gramado dos Loureiros,RS,16
Gramado Xavier,RS,16
Grandes Rios,PR,16
Granito,PE,6
Granja,CE,8
Granjeiro,CE,6
Grão Mogol,MG,8
Grão-Pará,SC,16
Gravatá,PE,2
Gravataí,RS,14
Gravatal,SC,16
Groaíras,CE,8
Grossos,RN,6
Grupiara,MG,12
Guabiju,RS,16
Guabiruba,SC,18
Guaçuí,ES,14
Guadalupe,PI,10
Guaíba,RS,14
Guaiçara,SP,10
Guaimbê,SP,12
Guaíra,SP,16
Guaíra,PR,24
Guairaçá,PR,18
Guaiúba,CE,2
Guajará,AM,16
Guajará-Mirim,RO,18
Guajeru,BA,4
Guamaré,RN,4
Guamiranga,PR,12
Guanambi,BA,6
Guanhães,MG,16
Guapé,MG,12
Guapiaçu,SP,14
Guapiara,SP,18
Guapimirim,RJ,22
Guapirama,PR,14
Guapó,GO,14
Guaporé,RS,18
Guaporema,PR,20
Guará,SP,14
Guarabira,PB,2
Guaraçaí,SP,16
Guaraci,SP,18
Guaraci,PR,16
Guaraciaba,MG,14
Guaraciaba,SC,20
Guaraciaba do Norte,CE,6
Guaraciama,MG,8
Guaraí,TO,22
Guaraíta,GO,16
Guaramiranga,CE,2
Guaramirim,SC,18
Guaranésia,MG,16
Guarani,MG,18
Guarani das Missões,RS,24
Guarani de Goiás,GO,18
Guarani d’Oeste,SP,14
Guaraniaçu,PR,22
Guarantã,SP,12
Guarantã do Norte,MT,22
Guarapari,ES,8
Guarapuava,PR,18
Guaraqueçaba,PR,18
Guarará,MG,24
Guararapes,SP,14
Guararema,SP,20
Guaratinga,BA,6
Guaratinguetá,SP,20
Guaratuba,PR,16
Guarda-Mor,MG,14
Guareí,SP,16
Guariba,SP,16
Guaribas,PI,12
Guarinos,GO,16
Guarujá,SP,18
Guarujá do Sul,SC,22
Guarulhos,SP,22
Guatambú,SC,18
Guatapará,SP,16
Guaxupé,MG,14
Guia Lopes da Laguna,MS,22
Guidoval,MG,14
Guimarães,MA,2
Guimarânia,MG,14
Guiratinga,MT,18
Guiricema,MG,12
Gurinhatã,MG,16
Gurinhém,PB,2
Gurjão,PB,4
Gurupá,PA,16
Gurupi,TO,22
Guzolândia,SP,14
Harmonia,RS,14
Heitoraí,GO,16
Heliodora,MG,10
Heliópolis,BA,2
Herculândia,SP,14
Herval,RS,18
Herval d’Oeste,SC,16
Herveiras,RS,16
Hidrolândia,CE,8
Hidrolândia,GO,14
Hidrolina,GO,14
Holambra,SP,18
Honório Serpa,PR,18
Horizonte,CE,2
Horizontina,RS,22
Hortolândia,SP,18
Hugo Napoleão,PI,10
Hulha Negra,RS,16
Humaitá,AM,22
Humaitá,RS,20
Humberto de Campos,MA,6
Iacanga,SP,14
Iaciara,GO,18
Iacri,SP,14
Iaçu,BA,4
Iapu,MG,10
Iaras,SP,16
Iati,PE,4
Ibaiti,PR,14
Ibarama,RS,18
Ibaretama,CE,4
Ibaté,SP,16
Ibateguara,AL,2
Ibatiba,ES,12
Ibema,PR,18
Ibertioga,MG,22
Ibiá,MG,14
Ibiaçá,RS,16
Ibiaí,MG,12
Ibiam,SC,16
Ibiapina,CE,8
Ibiara,PB,6
Ibiassucê,BA,4
Ibicaraí,BA,4
Ibicaré,SC,16
Ibicoara,BA,6
Ibicuí,BA,4
Ibicuitinga,CE,4
Ibimirim,PE,4
Ibipeba,BA,6
Ibipitanga,BA,8
Ibiporã,PR,14
Ibiquera,BA,4
Ibirá,SP,16
Ibiracatu,MG,8
Ibiraci,MG,14
Ibiraçu,ES,8
Ibiraiaras,RS,14
Ibirajuba,PE,4
Ibirama,SC,18
Ibirapitanga,BA,2
Ibirapuã,BA,6
Ibirapuitã,RS,16
Ibirarema,SP,16
Ibirataia,BA,4
Ibirité,MG,12
Ibirubá,RS,20
Ibitiara,BA,10
Ibitinga,SP,16
Ibitirama,ES,12
Ibititá,BA,4
Ibitiúra de Minas,MG,14
Ibituruna,MG,10
Ibiúna,SP,16
Ibotirama,BA,14
Icapuí,CE,4
Içara,SC,14
Icaraí de Minas,MG,10
Icaraíma,PR,24
Icatu,MA,10
Icém,SP,18
Ichu,BA,4
Icó,CE,6
Iconha,ES,10
Ielmo Marinho,RN,2
Iepê,SP,16
Igaci,AL,2
Igaporã,BA,6
Igaraçu do Tietê,SP,12
Igaracy,PB,6
Igarapava,SP,16
Igarapé,MG,10
Igarapé do Meio,MA,16
Igarapé Grande,MA,14
Igarapé-Açu,PA,14
Igarapé-Miri,PA,24
Igarassu,PE,2
Igaratá,SP,20
Igaratinga,MG,10
Igrapiúna,BA,2
Igreja Nova,AL,2
Igrejinha,RS,14
Iguaba Grande,RJ,10
Iguaí,BA,4
Iguape,SP,20
Iguaraçu,PR,18
Iguaracy,PE,8
Iguatama,MG,14
Iguatemi,MS,24
Iguatu,CE,6
Iguatu,PR,20
Ijaci,MG,12
Ijuí,RS,26
Ilha Comprida,SP,16
Ilha das Flores,SE,2
Ilha de Itamaracá,PE,2
Ilha Grande,PI,4
Ilha Solteira,SP,18
Ilhabela,SP,12
Ilhéus,BA,4
Ilhota,SC,16
Ilicínea,MG,12
Ilópolis,RS,18
Imaculada,PB,8
Imaruí,SC,14
Imbaú,PR,14
Imbé,RS,14
Imbé de Minas,MG,8
Imbituba,SC,14
Imbituva,PR,12
Imbuia,SC,16
Imigrante,RS,18
Imperatriz,MA,14
Inácio Martins,PR,16
Inaciolândia,GO,12
Inajá,PE,4
Inajá,PR,18
Inconfdentes,MG,14
Indaiabira,MG,6
Indaial,SC,18
Indaiatuba,SP,16
Independência,CE,6
Independência,RS,22
Indiana,SP,14
Indianópolis,MG,10
Indianópolis,PR,20
Indiaporã,SP,14
Indiara,GO,14
Indiaroba,SE,2
Indiavaí,MT,20
Ingá,PB,2
Ingaí,MG,14
Ingazeira,PE,8
Inhacorá,RS,22
Inhambupe,BA,4
Inhangapi,PA,20
Inhapi,AL,4
Inhapim,MG,8
Inhaúma,MG,10
Inhuma,PI,16
Inhumas,GO,16
Inimutaba,MG,10
Inocência,MS,20
Inúbia Paulista,SP,14
Iomerê,SC,18
Ipaba,MG,10
Ipameri,GO,16
Ipanema,MG,10
Ipanguaçu,RN,10
Ipaporanga,CE,4
Ipatinga,MG,12
Ipaumirim,CE,6
Ipaussu,SP,12
Ipê,RS,14
Ipecaetá,BA,4
Iperó,SP,16
